
Epoch 0 --> 1/50, i= 490/1200, -4.00dB/90Hz, Tr_BER=0.514271, L_CE=0.371381, Now=13:57:41
Epoch 0 --> 1/50, i= 500/1200, -4.00dB/90Hz, Tr_BER=0.514218, L_CE=0.371290, Now=13:57:41
Epoch 0 --> 1/50, i= 510/1200, -3.00dB/90Hz, Tr_BER=0.514178, L_CE=0.371108, Now=13:57:42
Epoch 0 --> 1/50, i= 520/1200, -4.00dB/90Hz, Tr_BER=0.514130, L_CE=0.370966, Now=13:57:42
Epoch 0 --> 1/50, i= 530/1200, -4.00dB/90Hz, Tr_BER=0.514104, L_CE=0.370896, Now=13:57:42
Epoch 0 --> 1/50, i= 540/1200, -3.00dB/90Hz, Tr_BER=0.514081, L_CE=0.370842, Now=13:57:43
Epoch 0 --> 1/50, i= 550/1200, -4.00dB/90Hz, Tr_BER=0.514056, L_CE=0.370762, Now=13:57:43
Epoch 0 --> 1/50, i= 560/1200, -5.00dB/90Hz, Tr_BER=0.514038, L_CE=0.370653, Now=13:57:44
Epoch 0 --> 1/50, i= 570/1200, -4.00dB/90Hz, Tr_BER=0.514013, L_CE=0.370595, Now=13:57:44
Epoch 0 --> 1/50, i= 580/1200, -3.00dB/90Hz, Tr_BER=0.514007, L_CE=0.370551, Now=13:57:45
Epoch 0 --> 1/50, i= 590/1200, -3.00dB/90Hz, Tr_BER=0.513989, L_CE=0.370528, Now=13:57:45
Epoch 0 --> 1/50, i= 600/1200, -4.00dB/90Hz, Tr_BER=0.513995, L_CE=0.370491, Now=13:57:46
Epoch 0 --> 1/50, i= 610/1200, -3.00dB/90Hz, Tr_BER=0.513953, L_CE=0.370358, Now=13:57:46
Epoch 0 --> 1/50, i= 620/1200, -3.00dB/90Hz, Tr_BER=0.513928, L_CE=0.370256, Now=13:57:46
Epoch 0 --> 1/50, i= 630/1200, -4.00dB/90Hz, Tr_BER=0.513916, L_CE=0.370230, Now=13:57:47
Epoch 0 --> 1/50, i= 640/1200, -3.00dB/90Hz, Tr_BER=0.513863, L_CE=0.370118, Now=13:57:47
Epoch 0 --> 1/50, i= 650/1200, -4.00dB/90Hz, Tr_BER=0.513816, L_CE=0.369931, Now=13:57:48
Epoch 0 --> 1/50, i= 660/1200, -4.00dB/90Hz, Tr_BER=0.513783, L_CE=0.369883, Now=13:57:48
Epoch 0 --> 1/50, i= 670/1200, -4.00dB/90Hz, Tr_BER=0.513756, L_CE=0.369832, Now=13:57:49
Epoch 0 --> 1/50, i= 680/1200, -4.00dB/90Hz, Tr_BER=0.513724, L_CE=0.369850, Now=13:57:49
Epoch 0 --> 1/50, i= 690/1200, -3.00dB/90Hz, Tr_BER=0.513711, L_CE=0.369821, Now=13:57:50
Epoch 0 --> 1/50, i= 700/1200, -3.00dB/90Hz, Tr_BER=0.513688, L_CE=0.369765, Now=13:57:50
Epoch 0 --> 1/50, i= 710/1200, -4.00dB/90Hz, Tr_BER=0.513648, L_CE=0.369705, Now=13:57:50
Epoch 0 --> 1/50, i= 720/1200, -3.00dB/90Hz, Tr_BER=0.513623, L_CE=0.369579, Now=13:57:51
Epoch 0 --> 1/50, i= 730/1200, -5.00dB/90Hz, Tr_BER=0.513599, L_CE=0.369529, Now=13:57:51
Epoch 0 --> 1/50, i= 740/1200, -4.00dB/90Hz, Tr_BER=0.513558, L_CE=0.369485, Now=13:57:52
